<<>><<>><<>><<>><<>><<>><<>><<>><<>>
Afrikaans: af
Albanian: sq
Amharic: am
Arabic: ar
Armenian: hy
Azerbaijani: az
Basque: eu
Belarusian: be
Bengali: bn
Bosnian: bs
Bulgarian: bg
Catalan: ca
Cebuano: ceb
Chichewa: ny
Chinese (Simplified): zh-cn
Chinese (Traditional): zh-tw
Corsican: co
Croation: hr
Czech: cs
Danish: da
Dutch: nl
English: en
Esperanto: eo
Estonian: et
Filipino: tl
Finnish: fi
French: fr
Frisian: fy
Galician: gl
Georgian: ka
German: de
Greek: el
Gujarati: gu
Haitian Creole: ht
Hausa: ha
Hawaiian: haw
Hebre: iw
Hindi: hi
Hmong: hmn
Hungarian: hu
Icelanding: is
Igbo: ig
Indonesian: id
Irish: ga
Italian: it
Japanese: ja
Javanese: jw
Kannada: kn
Kazakh: kk
Khmer: km
Korean: ko
Kurdish (Kurmanji): ku
Kyrgyz: ky
Lao: lo
Latin: la
Latvian: lv
Lithuanian: lt
Luxembourgish: lb
Macedonian: mk
Malagasy: mg
Malay: ms
Malayalam: ml
Maltest: mt
Maori: mi
Marathi: mr
Mongolian: mn
Myanmar (Burmese): my
Nepali: ne
Norwegian: no
Odia: or
Pashto: ps
Persian: fa
Polish: pl
Portugese: pt
Punjabi: pa
Romanian: ro
Russian: ru
Samoan: sm
Scots Gaelic: gd
Serbian: sr
Sesotho: st
Shona: sn
Sindhi: sd
Sinhala: si
Slovakian: sk
Slovenian: sl
Somali: so
Spanish: es
Sundanese: su
Swahili: sw
Swedish: sv
Tajik: tg
Tamil: ta
Telugu: te
Thai: th
Turkish: tr
Ukrainian: uk
Urdu: ur
Uyghur: ug
Uzbek: uz
Vietnamese: vi
Welsh: cy
Xhosa: xh
Yiddish: yi
Yoruba: yo
Zulu: zu
